     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       474      8.50     408.50     0.930491E+04     0.930491E+04
       475     10.00     408.50     0.936756E+04     0.936756E+04
       476     13.00     408.50     0.950496E+04     0.950496E+04
       477     19.00     408.50     0.968653E+04     0.968653E+04
       478     31.00     408.50     0.959451E+04     0.959451E+04
       479     55.00     408.50     0.943462E+04     0.943462E+04
       480    103.00     408.50     0.954634E+04     0.954634E+04
       481      0.50     409.50     0.905075E+04     0.905075E+04
       482      1.50     409.50     0.905532E+04     0.905532E+04
       483      2.50     409.50     0.906740E+04     0.906740E+04
       484      3.50     409.50     0.908641E+04     0.908641E+04
       485      4.25     409.50     0.910787E+04     0.910787E+04
       486      4.75     409.50     0.912349E+04     0.912349E+04
       487      5.50     409.50     0.914662E+04     0.914662E+04
       488      6.50     409.50     0.918202E+04     0.918202E+04
       489      7.50     409.50     0.922347E+04     0.922347E+04
       490      8.50     409.50     0.926685E+04     0.926685E+04
       491     10.00     409.50     0.933783E+04     0.933783E+04
       492     13.00     409.50     0.949114E+04     0.949114E+04
       493     19.00     409.50     0.969802E+04     0.969802E+04
       494     31.00     409.50     0.959937E+04     0.959937E+04
       495     55.00     409.50     0.943057E+04     0.943057E+04
       496    103.00     409.50     0.954625E+04     0.954625E+04
       497      0.50     410.50     0.899223E+04     0.899223E+04
       498      1.50     410.50     0.900019E+04     0.900019E+04
       499      2.50     410.50     0.901209E+04     0.901209E+04
       500      3.50     410.50     0.903059E+04     0.903059E+04
       501      4.25     410.50     0.905135E+04     0.905135E+04
       502      4.75     410.50     0.906708E+04     0.906708E+04
       503      5.50     410.50     0.909447E+04     0.909447E+04
       504      6.50     410.50     0.913853E+04     0.913853E+04
       505      7.50     410.50     0.918554E+04     0.918554E+04
